WHO region,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
EUR,South West Europe,France,FRA,NOTDEFINED,2010,1,2010-02-28T23:00:00.000Z,627,1303,0,7,0,0,5,12,,0,0,,12,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,2,2010-03-07T23:00:00.000Z,547,1157,0,2,0,0,1,3,1,0,5,6,9,,2
EUR,South West Europe,France,FRA,NOTDEFINED,2010,3,2010-03-14T23:00:00.000Z,554,1159,0,3,0,0,2,5,1,0,0,1,6,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,4,2010-03-21T23:00:00.000Z,492,1091,0,1,0,0,0,1,,0,0,,1,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,5,2010-03-28T22:00:00.000Z,523,1069,0,1,0,0,1,2,1,0,1,2,4,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,6,2010-04-04T22:00:00.000Z,356,787,0,0,0,0,1,1,1,0,2,3,4,,2
EUR,South West Europe,France,FRA,NOTDEFINED,2010,7,2010-04-11T22:00:00.000Z,437,880,0,0,0,0,0,,,0,3,3,3,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,8,2010-04-18T22:00:00.000Z,367,787,0,0,0,0,0,,,0,2,2,2,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,9,2010-04-25T22:00:00.000Z,299,703,0,2,0,0,1,3,,0,1,1,4,,3
EUR,South West Europe,France,FRA,NOTDEFINED,2010,10,2010-05-02T22:00:00.000Z,,337,0,0,0,0,0,,,0,0,,1,,1
EUR,South West Europe,France,FRA,NOTDEFINED,2010,11,2010-05-09T22:00:00.000Z,,312,0,0,0,0,0,,1,0,3,4,4,,1
EUR,South West Europe,France,FRA,NOTDEFINED,2010,12,2010-05-16T22:00:00.000Z,,351,0,0,0,0,0,,,0,0,,1,,1
EUR,South West Europe,France,FRA,NOTDEFINED,2010,13,2010-05-23T22:00:00.000Z,1398,1728,0,0,0,0,0,,,0,1,1,1,,2
EUR,South West Europe,France,FRA,NOTDEFINED,2010,14,2010-05-30T22:00:00.000Z,,340,0,0,0,0,0,,1,0,1,2,2,,1
EUR,South West Europe,France,FRA,NOTDEFINED,2010,15,2010-06-06T22:00:00.000Z,,303,0,0,0,0,0,,,0,0,,1,,1
EUR,South West Europe,France,FRA,NOTDEFINED,2010,16,2010-06-13T22:00:00.000Z,,278,0,0,0,0,0,,,0,1,1,1,,1
