Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,15-févr.-20,0
Indonesia,16-févr.-20,0
Indonesia,17-févr.-20,0
Indonesia,18-févr.-20,0
Indonesia,19-févr.-20,0
Indonesia,20-févr.-20,0
Indonesia,21-févr.-20,0
Indonesia,22-févr.-20,0
Indonesia,23-févr.-20,0
Indonesia,24-févr.-20,0
Indonesia,25-févr.-20,0
Indonesia,26-févr.-20,0
Indonesia,27-févr.-20,0
Indonesia,28-févr.-20,0
Indonesia,29-févr.-20,0
Indonesia,1-mars-20,0
Indonesia,2-mars-20,0
Indonesia,3-mars-20,0
Indonesia,4-mars-20,0
Indonesia,5-mars-20,0
Indonesia,6-mars-20,2
Indonesia,7-mars-20,0
Indonesia,8-mars-20,2
Indonesia,9-mars-20,13
Indonesia,10-mars-20,8
Indonesia,11-mars-20,7
Indonesia,12-mars-20,0
Indonesia,13-mars-20,35
Indonesia,14-mars-20,27
Indonesia,15-mars-20,21
Indonesia,16-mars-20,17
Indonesia,17-mars-20,38
Indonesia,18-mars-20,55
Indonesia,19-mars-20,82
Indonesia,20-mars-20,60
Indonesia,21-mars-20,81
Indonesia,22-mars-20,64
Indonesia,23-mars-20,65
Indonesia,24-mars-20,107
Indonesia,25-mars-20,104
Indonesia,26-mars-20,103
Indonesia,27-mars-20,153
Indonesia,28-mars-20,109
Indonesia,29-mars-20,130
Indonesia,30-mars-20,129
Indonesia,31-mars-20,114
Indonesia,1-avr.-20,149
Indonesia,2-avr.-20,113
Indonesia,3-avr.-20,196
Indonesia,4-avr.-20,106
Indonesia,5-avr.-20,181
Indonesia,6-avr.-20,218
Indonesia,7-avr.-20,247
Indonesia,8-avr.-20,218
Indonesia,9-avr.-20,337
Indonesia,10-avr.-20,219
Indonesia,11-avr.-20,330
Indonesia,12-avr.-20,399
Indonesia,13-avr.-20,316
Indonesia,14-avr.-20,282
Indonesia,15-avr.-20,297
Indonesia,16-avr.-20,380
Indonesia,17-avr.-20,407
Indonesia,18-avr.-20,325
Indonesia,19-avr.-20,327
Indonesia,20-avr.-20,185
Indonesia,21-avr.-20,375
Indonesia,22-avr.-20,283
Indonesia,23-avr.-20,357
Indonesia,24-avr.-20,436
Indonesia,25-avr.-20,396
Indonesia,26-avr.-20,275
Indonesia,27-avr.-20,214
Indonesia,28-avr.-20,415
Indonesia,29-avr.-20,260
Indonesia,30-avr.-20,347
Indonesia,1-mai-20,433
Indonesia,2-mai-20,292
Indonesia,3-mai-20,349
Indonesia,4-mai-20,395
Indonesia,5-mai-20,484
Indonesia,6-mai-20,367
Indonesia,7-mai-20,338
Indonesia,8-mai-20,336
Indonesia,9-mai-20,533
Indonesia,10-mai-20,387
Indonesia,11-mai-20,233
Indonesia,12-mai-20,484
Indonesia,13-mai-20,689
Indonesia,14-mai-20,568
Indonesia,15-mai-20,490
Indonesia,16-mai-20,529
Indonesia,17-mai-20,489
Indonesia,18-mai-20,496
Indonesia,19-mai-20,486
Indonesia,20-mai-20,693
Indonesia,21-mai-20,973
Indonesia,22-mai-20,634
Indonesia,23-mai-20,949
Indonesia,24-mai-20,526
Indonesia,25-mai-20,479
Indonesia,26-mai-20,415
Indonesia,27-mai-20,686
Indonesia,28-mai-20,687
Indonesia,29-mai-20,678
Indonesia,30-mai-20,557
Indonesia,31-mai-20,700
Indonesia,1-juin-20,467
Indonesia,2-juin-20,609
Indonesia,3-juin-20,684
Indonesia,4-juin-20,585
Indonesia,5-juin-20,703
Indonesia,6-juin-20,993
Indonesia,7-juin-20,672
Indonesia,8-juin-20,847
Indonesia,9-juin-20,1043
Indonesia,10-juin-20,1240
Indonesia,11-juin-20,979
Indonesia,12-juin-20,1111
Indonesia,13-juin-20,1014
Indonesia,14-juin-20,857
Indonesia,15-juin-20,1017
Indonesia,16-juin-20,1106
Indonesia,17-juin-20,1031
Indonesia,18-juin-20,1331
Indonesia,19-juin-20,1041
Indonesia,20-juin-20,1226
Indonesia,21-juin-20,862
Indonesia,22-juin-20,954
Indonesia,23-juin-20,1051
Indonesia,24-juin-20,1113
Indonesia,25-juin-20,1178
Indonesia,26-juin-20,1240
Indonesia,27-juin-20,1385
Indonesia,28-juin-20,1198
Indonesia,29-juin-20,1082
Indonesia,30-juin-20,1293
Indonesia,1-juil.-20,1385
Indonesia,2-juil.-20,1624
Indonesia,3-juil.-20,1301
Indonesia,4-juil.-20,1447
Indonesia,5-juil.-20,1607
Indonesia,6-juil.-20,1209
Indonesia,7-juil.-20,1268
Indonesia,8-juil.-20,1853
Indonesia,9-juil.-20,2657
Indonesia,10-juil.-20,1611
Indonesia,11-juil.-20,1671
Indonesia,12-juil.-20,1681
Indonesia,13-juil.-20,1282
Indonesia,14-juil.-20,1591
Indonesia,15-juil.-20,1522
Indonesia,16-juil.-20,1574
Indonesia,17-juil.-20,1462
Indonesia,18-juil.-20,1752
Indonesia,19-juil.-20,1639
Indonesia,20-juil.-20,1693
Indonesia,21-juil.-20,1655
Indonesia,22-juil.-20,1882
Indonesia,23-juil.-20,1906
Indonesia,24-juil.-20,1761
Indonesia,25-juil.-20,1868
Indonesia,26-juil.-20,1492
Indonesia,27-juil.-20,1525
Indonesia,28-juil.-20,1748
Indonesia,29-juil.-20,2381
Indonesia,30-juil.-20,1904
Indonesia,31-juil.-20,2040
Indonesia,1-août-20,1560
Indonesia,2-août-20,1519
Indonesia,3-août-20,1679
Indonesia,4-août-20,1922
Indonesia,5-août-20,1815
Indonesia,6-août-20,1882
Indonesia,7-août-20,2473
Indonesia,8-août-20,2277
Indonesia,9-août-20,1893
Indonesia,10-août-20,1687
Indonesia,11-août-20,1693
Indonesia,12-août-20,1942
Indonesia,13-août-20,2098
Indonesia,14-août-20,2307
Indonesia,15-août-20,2345
Indonesia,16-août-20,2081
Indonesia,17-août-20,1821
Indonesia,18-août-20,1673
Indonesia,19-août-20,1902
Indonesia,20-août-20,2266
Indonesia,21-août-20,2197
Indonesia,22-août-20,2090
Indonesia,23-août-20,2037
Indonesia,24-août-20,1877
Indonesia,25-août-20,2447
Indonesia,26-août-20,2306
Indonesia,27-août-20,2719
Indonesia,28-août-20,3003
Indonesia,29-août-20,3308
Indonesia,30-août-20,2858
Indonesia,31-août-20,2743
Indonesia,1-sept.-20,2775
Indonesia,2-sept.-20,3075
Indonesia,3-sept.-20,3622
Indonesia,4-sept.-20,3269
Indonesia,5-sept.-20,3128
Indonesia,6-sept.-20,3444
Indonesia,7-sept.-20,2880
Indonesia,8-sept.-20,3046
Indonesia,9-sept.-20,3307
Indonesia,10-sept.-20,3861
Indonesia,11-sept.-20,3737
Indonesia,12-sept.-20,3806
Indonesia,13-sept.-20,3636
Indonesia,14-sept.-20,3141
Indonesia,15-sept.-20,3507
Indonesia,16-sept.-20,3963
Indonesia,17-sept.-20,3635
Indonesia,18-sept.-20,3891
Indonesia,19-sept.-20,4168
Indonesia,20-sept.-20,3989
Indonesia,21-sept.-20,4176
Indonesia,22-sept.-20,4071
Indonesia,23-sept.-20,4465
Indonesia,24-sept.-20,4634
Indonesia,25-sept.-20,4823
Indonesia,26-sept.-20,4494
Indonesia,27-sept.-20,3874
Indonesia,28-sept.-20,3509
Indonesia,29-sept.-20,4002
Indonesia,30-sept.-20,4284
Indonesia,1-oct.-20,4174
Indonesia,2-oct.-20,4317
Indonesia,3-oct.-20,4007
Indonesia,4-oct.-20,3992
Indonesia,5-oct.-20,3622
Indonesia,6-oct.-20,4056
Indonesia,7-oct.-20,4538
Indonesia,8-oct.-20,4850
Indonesia,9-oct.-20,4094
Indonesia,10-oct.-20,4294
Indonesia,11-oct.-20,4497
Indonesia,12-oct.-20,3267
Indonesia,13-oct.-20,3906
Indonesia,14-oct.-20,4127
Indonesia,15-oct.-20,4411
Indonesia,16-oct.-20,4301
Indonesia,17-oct.-20,4301
Indonesia,18-oct.-20,4105
Indonesia,19-oct.-20,3373
Indonesia,20-oct.-20,3602
Indonesia,21-oct.-20,4267
Indonesia,22-oct.-20,4432
Indonesia,23-oct.-20,4369
Indonesia,24-oct.-20,4070
Indonesia,25-oct.-20,3732
Indonesia,26-oct.-20,3222
Indonesia,27-oct.-20,3520
Indonesia,28-oct.-20,4029
Indonesia,29-oct.-20,3565
Indonesia,30-oct.-20,2897
Indonesia,31-oct.-20,3143
Indonesia,1-nov.-20,2696
Indonesia,2-nov.-20,2618
Indonesia,3-nov.-20,2973
Indonesia,4-nov.-20,3356
Indonesia,5-nov.-20,4065
Indonesia,6-nov.-20,3778
Indonesia,7-nov.-20,4262
Indonesia,8-nov.-20,3880
